cds-HVO_RS05105	9
cds-HVO_RS05125	4
cds-HVO_RS06675	0
cds-HVO_RS06680	9
cds-HVO_RS07375	247
cds-HVO_RS07960	2
cds-HVO_RS08125	4
cds-HVO_RS08880	4
cds-HVO_RS09115	6
cds-HVO_RS09535	1
cds-HVO_RS09875	2
cds-HVO_RS10235	271
cds-HVO_RS10430	0
cds-HVO_RS10435	0
cds-HVO_RS10610	12
cds-HVO_RS10805	2
cds-HVO_RS11555	1
cds-HVO_RS11860	8
cds-HVO_RS12025	4
cds-HVO_RS12570	0
cds-HVO_RS12575	1
cds-HVO_RS12705	0
cds-HVO_RS13200	0
cds-HVO_RS13860	0
cds-HVO_RS13865	1
cds-HVO_RS14070	3
cds-HVO_RS14455	12
cds-HVO_RS14565	4
cds-HVO_RS14675	3
cds-HVO_RS14685	0
cds-HVO_RS15745	0
cds-HVO_RS16355	0
cds-HVO_RS16450	1
cds-HVO_RS16455	0
cds-HVO_RS16460	0
cds-HVO_RS16470	1
cds-HVO_RS16700	10
cds-HVO_RS17295	0
cds-HVO_RS17675	13
cds-HVO_RS17820	0
cds-HVO_RS18080	3
cds-HVO_RS18390	1
cds-HVO_RS18855	10
cds-HVO_RS19650	0
cds-HVO_RS20120	2
cds-HVO_RS20135	0
cds-HVO_RS20180	4
cds-HVO_RS20195	24
cds-HVO_RS20210	0
cds-HVO_RS20225	0
cds-HVO_RS20290	0
cds-HVO_RS20300	3
cds-HVO_RS20325	9
cds-HVO_RS20565	5
cds-HVO_RS20590	0
cds-HVO_RS20600	0
cds-HVO_RS20645	24
cds-HVO_RS21130	0
cds-WP_004041397.1	5
cds-WP_004041399.1	3
cds-WP_004041400.1	0
cds-WP_004041401.1	4
cds-WP_004041402.1	7
cds-WP_004041404.1	5
cds-WP_004041405.1	5
cds-WP_004041407.1	3
cds-WP_004041409.1	5
cds-WP_004041410.1	9
cds-WP_004041411.1	2
cds-WP_004041412.1	6
cds-WP_004041414.1	1
cds-WP_004041415.1	15
cds-WP_004041419.1	18
cds-WP_004041420.1	48
cds-WP_004041421.1	5
cds-WP_004041422.1	3
cds-WP_004041423.1	10
cds-WP_004041424.1	90
cds-WP_004041425.1	24
cds-WP_004041426.1	6
cds-WP_004041427.1	1
cds-WP_004041428.1	2
cds-WP_004041429.1	2
cds-WP_004041430.1	3
cds-WP_004041431.1	1
cds-WP_004041432.1	3
cds-WP_004041433.1	1
cds-WP_004041434.1	90
cds-WP_004041435.1	13
cds-WP_004041437.1	3
cds-WP_004041438.1	19
cds-WP_004041439.1	7
cds-WP_004041440.1	36
cds-WP_004041441.1	22
cds-WP_004041442.1	5
cds-WP_004041443.1	11
cds-WP_004041444.1	2
cds-WP_004041447.1	3
cds-WP_004041448.1	0
cds-WP_004041449.1	5
cds-WP_004041450.1	11
cds-WP_004041451.1	19
cds-WP_004041452.1	36
cds-WP_004041453.1	9
cds-WP_004041454.1	1
cds-WP_004041456.1	2
cds-WP_004041457.1	64
cds-WP_004041458.1	17
cds-WP_004041459.1	4
cds-WP_004041460.1	5
cds-WP_004041462.1	1
cds-WP_004041464.1	3
cds-WP_004041465.1	0
cds-WP_004041468.1	0
cds-WP_004041469.1	7
cds-WP_004041471.1	1
cds-WP_004041473.1	11
cds-WP_004041476.1	6
cds-WP_004041479.1	6
cds-WP_004041481.1	39
cds-WP_004041483.1	7
cds-WP_004041484.1	16
cds-WP_004041485.1	13
cds-WP_004041486.1	2
cds-WP_004041487.1	1
cds-WP_004041488.1	7
cds-WP_004041489.1	5
cds-WP_004041490.1	4
cds-WP_004041491.1	0
cds-WP_004041492.1	2
cds-WP_004041493.1	3
cds-WP_004041494.1	3
cds-WP_004041496.1	8
cds-WP_004041497.1	11
cds-WP_004041499.1	2
cds-WP_004041500.1	14
cds-WP_004041501.1	3
cds-WP_004041502.1	40
cds-WP_004041503.1	6
cds-WP_004041504.1	1
cds-WP_004041505.1	1
cds-WP_004041506.1	3
cds-WP_004041507.1	1
cds-WP_004041508.1	4
cds-WP_004041509.1	0
cds-WP_004041510.1	0
cds-WP_004041511.1	2
cds-WP_004041512.1	1
cds-WP_004041513.1	5
cds-WP_004041514.1	1
cds-WP_004041515.1	17
cds-WP_004041516.1	5
cds-WP_004041518.1	0
cds-WP_004041519.1	8
cds-WP_004041520.1	1
cds-WP_004041521.1	13
cds-WP_004041522.1	3
cds-WP_004041523.1	9
cds-WP_004041524.1	0
cds-WP_004041525.1	4
cds-WP_004041526.1	1
cds-WP_004041527.1	43
cds-WP_004041528.1	0
cds-WP_004041531.1	1
cds-WP_004041532.1	0
cds-WP_004041533.1	3
cds-WP_004041534.1	0
cds-WP_004041536.1	2
cds-WP_004041537.1	8
cds-WP_004041538.1	12
cds-WP_004041539.1	1
cds-WP_004041540.1	7
cds-WP_004041541.1	10
cds-WP_004041542.1	25
cds-WP_004041543.1	3
cds-WP_004041544.1	1
cds-WP_004041545.1	6
cds-WP_004041546.1	2
cds-WP_004041547.1	2
cds-WP_004041548.1	2
cds-WP_004041549.1	4
cds-WP_004041550.1	5
cds-WP_004041551.1	3
